102367,341279,260
102366,340056,260
102364,8794496,108.5
102361,14581595,90.333333333333
102354,31620,351
102352,64135,108.5
102351,14886,26
102305,1405131,108.5
102292,152697,285.5
102288,77,31
102287,141420,7
102279,100335,161
102263,277,284
102258,1223,236.5
102217,391,161
102157,1628656,16
101923,97,175.5
101815,1062420,22.25
101615,6337632,83
101543,23063,17
101448,476,40
101289,536771,40
101263,234281,79
101205,1449425,106.5
101194,517434,369
101183,15,103.95
101059,1637477,79
101004,34431,40
100959,1893,173
100922,13057390,59
100914,12883735,78.666666666667
100904,60699,129
100894,12203010,437.33333333333
100844,316,74.5
100841,946744,149
100800,81292,34.25
100789,29648,168
100785,258123,149
100782,178572,168
100781,94380,149
100764,3687538,68.5
100758,672166,42
100757,547691,129
100755,4136970,126
100710,39141,0
#####
